Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","1597","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","21","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","21","E","Estimated value"
