Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1965","1965","1000 ha","366","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1966","1966","1000 ha","368","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1967","1967","1000 ha","368","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1968","1968","1000 ha","370","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1969","1969","1000 ha","370","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1970","1970","1000 ha","382","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1971","1971","1000 ha","382","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1972","1972","1000 ha","385","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1973","1973","1000 ha","385","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1974","1974","1000 ha","392","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1975","1975","1000 ha","392","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1976","1976","1000 ha","398","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1977","1977","1000 ha","400","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1978","1978","1000 ha","400","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1979","1979","1000 ha","405","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1980","1980","1000 ha","413","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1981","1981","1000 ha","413","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1982","1982","1000 ha","418","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1983","1983","1000 ha","430","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1984","1984","1000 ha","444","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1985","1985","1000 ha","444","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1986","1986","1000 ha","444","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1987","1987","1000 ha","465","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1988","1988","1000 ha","460","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1989","1989","1000 ha","452","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1990","1990","1000 ha","454","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1991","1991","1000 ha","504","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1992","1992","1000 ha","504","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1993","1993","1000 ha","505","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1994","1994","1000 ha","509","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1995","1995","1000 ha","565","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1996","1996","1000 ha","570","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1997","1997","1000 ha","572","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1998","1998","1000 ha","572","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","1999","1999","1000 ha","572","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2000","2000","1000 ha","578","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2001","2001","1000 ha","579","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2002","2002","1000 ha","580","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2003","2003","1000 ha","583","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2004","2004","1000 ha","584","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2005","2005","1000 ha","593","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2006","2006","1000 ha","577","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2007","2007","1000 ha","563","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2008","2008","1000 ha","521.3","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2009","2009","1000 ha","520","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2010","2010","1000 ha","520","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2011","2011","1000 ha","519.6","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2012","2012","1000 ha","519.6","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2013","2013","1000 ha","519.6","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2014","2014","1000 ha","525.6","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2015","2015","1000 ha","525.6","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2016","2016","1000 ha","519","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2017","2017","1000 ha","513","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2018","2018","1000 ha","513","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2019","2019","1000 ha","513","I","Imputed value"
"RL","Land Use","064","Bhutan","5110","Area","6610","Agricultural land","2020","2020","1000 ha","513","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1961","1961","1000 ha","21","T","Unofficial figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1962","1962","1000 ha","21","T","Unofficial figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1963","1963","1000 ha","21","T","Unofficial figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1964","1964","1000 ha","24","T","Unofficial figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1965","1965","1000 ha","24","T","Unofficial figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1966","1966","1000 ha","23","T","Unofficial figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1967","1967","1000 ha","23","T","Unofficial figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1968","1968","1000 ha","24","T","Unofficial figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1969","1969","1000 ha","24","T","Unofficial figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1970","1970","1000 ha","24","T","Unofficial figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1971","1971","1000 ha","19","A","Official figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1972","1972","1000 ha","18","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1973","1973","1000 ha","18","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1974","1974","1000 ha","18","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1975","1975","1000 ha","18","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1976","1976","1000 ha","17","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1977","1977","1000 ha","15","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1978","1978","1000 ha","15","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1979","1979","1000 ha","15","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1980","1980","1000 ha","14","A","Official figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1981","1981","1000 ha","14","A","Official figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1982","1982","1000 ha","13","A","Official figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1983","1983","1000 ha","13","A","Official figure"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1984","1984","1000 ha","12","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1985","1985","1000 ha","12","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1986","1986","1000 ha","12","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1987","1987","1000 ha","12","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1988","1988","1000 ha","12","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1989","1989","1000 ha","12","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1990","1990","1000 ha","11","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1991","1991","1000 ha","11","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1992","1992","1000 ha","11","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1993","1993","1000 ha","11","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1994","1994","1000 ha","11","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1995","1995","1000 ha","10","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1996","1996","1000 ha","10","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1997","1997","1000 ha","10","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1998","1998","1000 ha","10","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","1999","1999","1000 ha","10","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2000","2000","1000 ha","10","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2001","2001","1000 ha","11","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2002","2002","1000 ha","11","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2003","2003","1000 ha","11","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2004","2004","1000 ha","11","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2005","2005","1000 ha","11","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2006","2006","1000 ha","10.3","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2007","2007","1000 ha","11.4","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2008","2008","1000 ha","11.4","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2009","2009","1000 ha","13.4","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2010","2010","1000 ha","13.4","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2011","2011","1000 ha","13.4","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2012","2012","1000 ha","13.4","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2013","2013","1000 ha","13.4","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2014","2014","1000 ha","13.4","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2015","2015","1000 ha","13.4","I","Imputed value"
"RL","Land Use","096","Brunei Darussalam","5110","Area","6610","Agricultural land","2016","2016","1000 ha","13.4","I","Imputed value"
