Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","24.51","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","29.24","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","32.37","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","2.01","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","2.35","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","2.44","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","3.22","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","2.55","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","1.88","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","5.16","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","6.64","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","2.09","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","5.93","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","7.05","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","5.82","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","5.68","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","6.56","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","9.07","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","7.44","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","5.4","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","3.38","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","10.81","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","25.62","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","27.64","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","37.58","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","34.53","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","34.53","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","2.1","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","9.92","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","13.65","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","5.98","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","27.93","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","38.49","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","9.06","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","1.62","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","11.97","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","20.54","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","20.54","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","20.54","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","20.54","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","20.54","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","20.54","E","Estimated value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","20.54","E","Estimated value"
"RP","Pesticides Use","344","China, Hong Kong SAR","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","115","E","Estimated value"
"RP","Pesticides Use","344","China, Hong Kong SAR","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","95","E","Estimated value"
"RP","Pesticides Use","344","China, Hong Kong SAR","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","84","E","Estimated value"
"RP","Pesticides Use","344","China, Hong Kong SAR","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","74","E","Estimated value"
"RP","Pesticides Use","344","China, Hong Kong SAR","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","71","E","Estimated value"
